Function,Category,Subcategory,Alice,Bob,Craig,Carol,Dave,Frank
GOVERN,GV.OC,GV.OC-01,1,3,3,4,1,1
GOVERN,GV.OC,GV.OC-02,1,1,1,1,2,0
GOVERN,GV.OC,GV.OC-03,4,4,3,2,1,2
GOVERN,GV.OC,GV.OC-04,2,2,2,4,4,1
GOVERN,GV.OC,GV.OC-05,1,0,0,0,1,0
GOVERN,GV.RM,GV.RM-01,0,0,0,0,1,1
GOVERN,GV.RM,GV.RM-02,4,3,2,2,3,2
GOVERN,GV.RM,GV.RM-03,3,2,3,3,0,2
GOVERN,GV.RM,GV.RM-04,4,4,2,2,4,3
GOVERN,GV.RM,GV.RM-05,1,4,2,2,2,1
GOVERN,GV.RM,GV.RM-06,0,0,2,2,1,2
GOVERN,GV.RM,GV.RM-07,1,4,3,3,2,1
GOVERN,GV.RR,GV.RR-01,2,4,4,2,2,2
GOVERN,GV.RR,GV.RR-02,4,6,4,3,5,4
GOVERN,GV.RR,GV.RR-03,2,0,0,0,2,0
GOVERN,GV.RR,GV.RR-04,5,6,3,4,6,3
GOVERN,GV.PO,GV.PO-01,3,4,2,5,3,2
GOVERN,GV.PO,GV.PO-02,4,4,1,1,1,3
GOVERN,GV.OV,GV.OV-01,2,2,4,2,5,2
GOVERN,GV.OV,GV.OV-02,4,4,3,3,3,1
GOVERN,GV.OV,GV.OV-03,2,0,2,0,1,2
GOVERN,GV.SC,GV.SC-01,0,2,1,0,2,2
GOVERN,GV.SC,GV.SC-02,0,2,1,1,0,2
GOVERN,GV.SC,GV.SC-03,4,5,5,3,4,4
GOVERN,GV.SC,GV.SC-04,0,0,0,0,0,0
GOVERN,GV.SC,GV.SC-05,3,4,4,3,4,4
GOVERN,GV.SC,GV.SC-06,0,0,0,0,1,0
GOVERN,GV.SC,GV.SC-07,2,3,2,0,3,0
GOVERN,GV.SC,GV.SC-08,2,1,3,3,1,3
GOVERN,GV.SC,GV.SC-09,0,3,0,3,2,2
GOVERN,GV.SC,GV.SC-10,1,3,1,1,0,1
IDENTIFY,ID.AM,ID.AM-01,0,0,1,1,1,1
IDENTIFY,ID.AM,ID.AM-02,2,2,3,4,2,3
IDENTIFY,ID.AM,ID.AM-03,1,3,2,1,1,1
IDENTIFY,ID.AM,ID.AM-04,1,0,3,0,0,2
IDENTIFY,ID.AM,ID.AM-05,6,5,3,4,3,3
IDENTIFY,ID.AM,ID.AM-06,1,3,3,2,2,1
IDENTIFY,ID.RA,ID.RA-01,1,0,0,0,0,1
IDENTIFY,ID.RA,ID.RA-02,2,3,2,3,1,1
IDENTIFY,ID.RA,ID.RA-03,1,0,0,0,0,0
IDENTIFY,ID.RA,ID.RA-04,2,3,1,4,1,1
IDENTIFY,ID.RA,ID.RA-05,1,1,0,3,1,3
IDENTIFY,ID.RA,ID.RA-06,6,5,6,5,5,6
IDENTIFY,ID.RA,ID.RA-07,0,2,1,3,0,3
IDENTIFY,ID.IM,ID.IM-01,0,0,1,1,2,2
IDENTIFY,ID.IM,ID.IM-02,0,1,0,0,1,0
PROTECT,PR.AA,PR.AA-01,3,3,2,3,2,1
PROTECT,PR.AA,PR.AA-02,2,2,3,3,2,3
PROTECT,PR.AA,PR.AA-03,0,1,1,0,0,1
PROTECT,PR.AA,PR.AA-04,0,1,0,0,0,0
PROTECT,PR.AA,PR.AA-05,4,5,5,6,6,4
PROTECT,PR.AA,PR.AA-06,1,1,0,0,0,1
PROTECT,PR.AT,PR.AT-01,6,3,3,6,5,5
PROTECT,PR.AT,PR.AT-02,0,0,0,1,1,0
PROTECT,PR.AT,PR.AT-03,4,2,4,1,4,4
PROTECT,PR.AT,PR.AT-04,0,3,3,1,3,3
PROTECT,PR.AT,PR.AT-05,5,6,4,3,5,3
PROTECT,PR.DS,PR.DS-01,3,5,3,3,3,3
PROTECT,PR.DS,PR.DS-02,3,0,0,3,0,3
PROTECT,PR.DS,PR.DS-03,0,0,1,1,1,1
PROTECT,PR.DS,PR.DS-04,0,3,0,3,3,2
PROTECT,PR.DS,PR.DS-05,1,2,1,1,1,1
PROTECT,PR.DS,PR.DS-06,3,5,4,6,5,5
PROTECT,PR.DS,PR.DS-07,0,0,0,2,1,2
PROTECT,PR.DS,PR.DS-08,0,1,0,1,0,1
PROTECT,PR.DS,PR.DS-09,3,0,3,0,3,3
PROTECT,PR.DS,PR.DS-10,3,4,3,4,5,6
PROTECT,PR.DS,PR.DS-11,0,1,0,0,0,0
PROTECT,PR.PS,PR.PS-01,3,0,3,2,0,0
PROTECT,PR.PS,PR.PS-02,1,0,1,0,0,0
PROTECT,PR.PS,PR.PS-03,4,5,6,4,6,4
PROTECT,PR.PS,PR.PS-04,5,4,5,5,4,4
PROTECT,PR.PS,PR.PS-05,0,2,0,0,1,0
PROTECT,PR.PS,PR.PS-06,3,4,3,4,3,2
PROTECT,PR.IR,PR.IR-01,5,3,4,2,5,2
PROTECT,PR.IR,PR.IR-02,1,4,4,2,4,2
PROTECT,PR.IR,PR.IR-03,3,3,3,4,2,2
PROTECT,PR.IR,PR.IR-04,5,3,4,5,4,3
PROTECT,PR.IR,PR.IR-05,4,4,4,3,6,4
DETECT,DE.CM,DE.CM-01,5,4,5,6,3,3
DETECT,DE.CM,DE.CM-02,5,5,5,2,4,5
DETECT,DE.CM,DE.CM-03,3,6,6,4,5,5
DETECT,DE.AE,DE.AE-01,4,1,2,4,2,2
DETECT,DE.AE,DE.AE-02,0,3,2,2,3,1
RESPOND,RS.MA,RS.MA-01,0,0,0,0,1,1
RESPOND,RS.MA,RS.MA-02,1,0,0,0,0,0
RESPOND,RS.MA,RS.MA-03,2,0,0,2,0,2
RESPOND,RS.MA,RS.MA-04,2,2,5,2,4,5
RESPOND,RS.MA,RS.MA-05,3,2,4,4,5,3
RESPOND,RS.AN,RS.AN-01,0,1,0,0,1,3
RESPOND,RS.AN,RS.AN-02,4,2,3,3,3,5
RESPOND,RS.AN,RS.AN-03,5,5,3,3,5,2
RESPOND,RS.AN,RS.AN-04,1,2,2,1,3,2
RESPOND,RS.AN,RS.AN-05,0,0,2,0,2,1
RESPOND,RS.CO,RS.CO-01,0,1,0,2,0,2
RESPOND,RS.CO,RS.CO-02,2,5,5,5,5,4
RESPOND,RS.CO,RS.CO-03,0,2,2,2,1,2
RESPOND,RS.MI,RS.MI-01,2,3,4,1,1,1
RESPOND,RS.MI,RS.MI-02,2,0,3,2,0,0
RECOVER,RC.RP,RC.RP-01,1,2,0,0,2,1
RECOVER,RC.CO,RC.CO-01,4,3,5,4,5,5
RECOVER,RC.CO,RC.CO-02,0,1,0,0,0,0
RECOVER,RC.CO,RC.CO-03,4,5,3,5,6,4
